firstname,lastname,name,distance,elapsed_time,moving_time,sport_type,total_elevation_gain,workout_type,date
"Raul","A.","Vuelta ciclista por la tarde",2118.2,741,662,"Ride",57,,"20221203-153645"
"Marcos","A.","Vuelta ciclista por la tarde",2453.1,794,794,"Ride",13.4,,"20221203-153645"
"ROBERT LEAL","E.","Reconhecimento do percurso #mtbweekend  Lagoa dos ingleses ",5748,2993,2612,"Ride",185.8,10,"20221203-153645"
"Fabien","P.","Evening Ride",13340.8,2033,2033,"VirtualRide",384,,"20221203-153645"
"Ricardo 🌪️🙏","T.","Pedalada vespertina",2515,2441,573,"Ride",64,,"20221203-153645"
"Bob","B.","Zwift - Legends and Lava in Watopia",26324.7,3324,3324,"VirtualRide",352,,"20221203-153645"
"Regis Calazans","O.","Chuveu mais... Fumu assim memu😂😂😂",16818.2,3320,2991,"Ride",160.5,10,"20221203-153645"
"Bastien","T.","Zwift - Sneaky in Watopia",29992.7,3634,3634,"VirtualRide",254,,"20221203-153645"
"Roberty","S.","Desaceleração 🥵",13147.6,3438,2403,"MountainBikeRide",333,10,"20221203-153645"
"Claude","J.","3 déc. 2022 19:50",5145.8,1360,1209,"EBikeRide",109.4,,"20221203-153645"
"Maurício","A.","Tarde passeio",30192.7,4930,4369,"Ride",135.5,10,"20221203-153645"
"Marcio Rubens","F.","Pedalada matinal",42302.2,6093,5638,"Ride",83,,"20221203-153645"
"Crash","G.","Saturday Evening Zwift Watopia-40km Zone 1/2. 60 Minutes Turbo……(Medium Cadence 92 Average rpm, 113 Max rpm)",40112.1,4287,4287,"VirtualRide",155,,"20221203-153645"
"LA ROUE","T.","Zwift - Makuri Islands",17333.8,2050,2050,"VirtualRide",144,,"20221203-153645"
"Flavio","G.","Volta de bicicleta vespertina",30134.3,3813,3726,"Ride",201,,"20221203-153645"
"Cristiano","A.","Pedal bate e volta Cira.  Ciclocross ",36158.4,5177,4513,"Ride",236,10,"20221203-153645"
"Strong","M.","Zwift - FTP Test in Watopia",40736.9,4445,4399,"VirtualRide",63,,"20221203-153645"
"O Catingueiro","P.","Pedalada vespertina",8191.8,6091,4182,"Ride",44,10,"20221203-153645"
"UP 🇧🇷","G.","Giro com motobomba ",32642.7,4038,3963,"Ride",255,10,"20221203-153645"
"Olimpio Neto -","🇧.","XCO Madereira Iporá (03/12/2022)",12187,5447,3407,"Ride",272,10,"20221203-153645"
"Gabriela","S.","Afternoon Ride",19554.1,4348,4348,"Ride",473.9,,"20221203-153645"
"DECO","P.","Pedalada vespertina",28649.3,5051,5051,"Ride",426.7,,"20221203-153645"
"Scott","W.","Medium Intensity Recovery - Moderate Heart Rate ",51334.6,5869,5869,"VirtualRide",629,,"20221203-153645"
"Mikko","B.","Afternoon Ride",30174.9,4377,4074,"Ride",29,10,"20221203-153645"
"Lilian","N.","Giro de Sábado a tarde",33305.1,7550,6480,"Ride",403.6,10,"20221203-153645"
"Ricardo 🌪️🙏","T.","3 etapa volta de verão 6 lugar .

",39055.4,3382,3382,"Ride",420,10,"20221203-153645"
"Pablo","B.","Pedalada vespertina",22486.1,6433,3842,"Ride",182.7,10,"20221203-153645"
"Никола","П.","Zwift - Big Foot Hills in Watopia",53041.4,7269,7216,"VirtualRide",575,,"20221203-153645"
"José Augusto","H.","Pedalada de mountain bike vespertina",42191,7233,6141,"MountainBikeRide",310,,"20221203-153645"
"Ricardo","B.","Pedalada vespertina",42535.6,6360,6278,"Ride",599.9,10,"20221203-153645"
"Eduardo Garcia","🔺.","Pedalada vespertina",59246.7,8861,8860,"Ride",888.9,10,"20221203-153645"
"Justin","F.","Axis",45140.6,6300,6300,"Ride",0,12,"20221203-153645"
"Fabricio","G.","Bom Jardim, Machadinho e tome chuva de novo🤣🤣",33784.6,7829,7497,"Ride",665.6,10,"20221203-153645"
"Josimar","A.","Volta da anhanguera ✅ total de 80 kms 🤨🤔",71038.4,8770,8048,"Ride",904.6,10,"20221203-153645"
"Ricardo","M.","Pedalada vespertina",42064.5,6536,5902,"Ride",177.6,10,"20221203-153645"
"Fabricio","G.","Volta de bicicleta vespertina",74605.4,9000,8458,"Ride",1020,10,"20221203-153645"
"Steve Cuellar ","📸.","Morning Gravel Ride",38133.4,8322,7967,"GravelRide",859,,"20221203-153645"
"Edney","C.","Pedalada vespertina",41425.7,8716,7751,"Ride",1079.4,,"20221203-153645"
"Maxime","D.","Zwift - SST (Long) in Watopia",64988.6,8166,7808,"VirtualRide",766,,"20221203-153645"
"Raul","A.","Vuelta ciclista por la mañana",84576.1,12182,10566,"Ride",1129,,"20221203-153645"
"ALEXANDRE","L.","SERINHA SÃO SALVADOR ",50603,10736,9479,"Ride",823,10,"20221203-153645"
"Evandro","S.","Pedalada de mountain bike vespertina",41276.7,12094,9272,"MountainBikeRide",664,,"20221203-153645"
"Jaroslaw","S.","Afternoon Mountain Bike Ride",11910.3,8483,2646,"MountainBikeRide",56,,"20221203-153645"
"E.","T.","Radfahren",87748.5,13209,10927,"Ride",848,,"20221203-153645"
"Thalison","F.","Afternoon Ride",63514.5,10167,8253,"Ride",607,,"20221203-153645"
"Weverton","(.","Afternoon Ride",100469,13709,12201,"Ride",2151.2,,"20221203-153645"
"Jorge Aguilar","E.","Bicicleta por la mañana",10530.2,16247,2326,"Ride",39.6,,"20221203-153645"
"Israelillo 👽🐵😸","🚴.","Morning Ride",167530,38775,26884,"Ride",668.9,10,"20221203-153645"
"Rogério","C.","A Procura da Serra dos Escravos kkkkk ",126599,36681,26930,"MountainBikeRide",2161,10,"20221203-153645"
"MADOkA","🤡.","Nos a procura da serra dos escravo ",127132,37499,26945,"MountainBikeRide",2341.4,10,"20221203-153645"
"Raul","A.","Vuelta ciclista por la tarde",2118.2,741,662,"Ride",57,,"20221203-153834"
"Marcos","A.","Vuelta ciclista por la tarde",2453.1,794,794,"Ride",13.4,,"20221203-153834"
"ROBERT LEAL","E.","Reconhecimento do percurso #mtbweekend  Lagoa dos ingleses ",5748,2993,2612,"Ride",185.8,10,"20221203-153834"
"Fabien","P.","Evening Ride",13340.8,2033,2033,"VirtualRide",384,,"20221203-153834"
"Ricardo 🌪️🙏","T.","Pedalada vespertina",2515,2441,573,"Ride",64,,"20221203-153834"
"Bob","B.","Zwift - Legends and Lava in Watopia",26324.7,3324,3324,"VirtualRide",352,,"20221203-153834"
"Regis Calazans","O.","Chuveu mais... Fumu assim memu😂😂😂",16818.2,3320,2991,"Ride",160.5,10,"20221203-153834"
"Bastien","T.","Zwift - Sneaky in Watopia",29992.7,3634,3634,"VirtualRide",254,,"20221203-153834"
"Roberty","S.","Desaceleração 🥵",13147.6,3438,2403,"MountainBikeRide",333,10,"20221203-153834"
"Claude","J.","3 déc. 2022 19:50",5145.8,1360,1209,"EBikeRide",109.4,,"20221203-153834"
"Maurício","A.","Tarde passeio",30192.7,4930,4369,"Ride",135.5,10,"20221203-153834"
"Marcio Rubens","F.","Pedalada matinal",42302.2,6093,5638,"Ride",83,,"20221203-153834"
"Crash","G.","Saturday Evening Zwift Watopia-40km Zone 1/2. 60 Minutes Turbo……(Medium Cadence 92 Average rpm, 113 Max rpm)",40112.1,4287,4287,"VirtualRide",155,,"20221203-153834"
"LA ROUE","T.","Zwift - Makuri Islands",17333.8,2050,2050,"VirtualRide",144,,"20221203-153834"
"Flavio","G.","Volta de bicicleta vespertina",30134.3,3813,3726,"Ride",201,,"20221203-153834"
"Cristiano","A.","Pedal bate e volta Cira.  Ciclocross ",36158.4,5177,4513,"Ride",236,10,"20221203-153834"
"Strong","M.","Zwift - FTP Test in Watopia",40736.9,4445,4399,"VirtualRide",63,,"20221203-153834"
"O Catingueiro","P.","Pedalada vespertina",8191.8,6091,4182,"Ride",44,10,"20221203-153834"
"UP 🇧🇷","G.","Giro com motobomba ",32642.7,4038,3963,"Ride",255,10,"20221203-153834"
"Olimpio Neto -","🇧.","XCO Madereira Iporá (03/12/2022)",12187,5447,3407,"Ride",272,10,"20221203-153834"
"Gabriela","S.","Afternoon Ride",19554.1,4348,4348,"Ride",473.9,,"20221203-153834"
"DECO","P.","Pedalada vespertina",28649.3,5051,5051,"Ride",426.7,,"20221203-153834"
"Scott","W.","Medium Intensity Recovery - Moderate Heart Rate ",51334.6,5869,5869,"VirtualRide",629,,"20221203-153834"
"Mikko","B.","Afternoon Ride",30174.9,4377,4074,"Ride",29,10,"20221203-153834"
"Lilian","N.","Giro de Sábado a tarde",33305.1,7550,6480,"Ride",403.6,10,"20221203-153834"
"Ricardo 🌪️🙏","T.","3 etapa volta de verão 6 lugar .

",39055.4,3382,3382,"Ride",420,10,"20221203-153834"
"Pablo","B.","Pedalada vespertina",22486.1,6433,3842,"Ride",182.7,10,"20221203-153834"
"Никола","П.","Zwift - Big Foot Hills in Watopia",53041.4,7269,7216,"VirtualRide",575,,"20221203-153834"
"José Augusto","H.","Pedalada de mountain bike vespertina",42191,7233,6141,"MountainBikeRide",310,,"20221203-153834"
"Ricardo","B.","Tanquinho/ Sbo",42535.6,6360,6278,"Ride",599.9,10,"20221203-153834"
"Eduardo Garcia","🔺.","Pedalada vespertina",59246.7,8861,8860,"Ride",888.9,10,"20221203-153834"
"Justin","F.","Axis",45140.6,6300,6300,"Ride",0,12,"20221203-153834"
"Fabricio","G.","Bom Jardim, Machadinho e tome chuva de novo🤣🤣",33784.6,7829,7497,"Ride",665.6,10,"20221203-153834"
"Josimar","A.","Volta da anhanguera ✅ total de 80 kms 🤨🤔",71038.4,8770,8048,"Ride",904.6,10,"20221203-153834"
"Ricardo","M.","Pedalada vespertina",42064.5,6536,5902,"Ride",177.6,10,"20221203-153834"
"Fabricio","G.","Volta de bicicleta vespertina",74605.4,9000,8458,"Ride",1020,10,"20221203-153834"
"Steve Cuellar ","📸.","Morning Gravel Ride",38133.4,8322,7967,"GravelRide",859,,"20221203-153834"
"Edney","C.","Pedalada vespertina",41425.7,8716,7751,"Ride",1079.4,,"20221203-153834"
"Maxime","D.","Zwift - SST (Long) in Watopia",64988.6,8166,7808,"VirtualRide",766,,"20221203-153834"
"Raul","A.","Vuelta ciclista por la mañana",84576.1,12182,10566,"Ride",1129,,"20221203-153834"
"ALEXANDRE","L.","SERINHA SÃO SALVADOR ",50603,10736,9479,"Ride",823,10,"20221203-153834"
"Evandro","S.","Pedalada de mountain bike vespertina",41276.7,12094,9272,"MountainBikeRide",664,,"20221203-153834"
"Jaroslaw","S.","Afternoon Mountain Bike Ride",11910.3,8483,2646,"MountainBikeRide",56,,"20221203-153834"
"E.","T.","Radfahren",87748.5,13209,10927,"Ride",848,,"20221203-153834"
"Thalison","F.","Afternoon Ride",63514.5,10167,8253,"Ride",607,,"20221203-153834"
"Weverton","(.","Afternoon Ride",100469,13709,12201,"Ride",2151.2,,"20221203-153834"
"Jorge Aguilar","E.","Bicicleta por la mañana",10530.2,16247,2326,"Ride",39.6,,"20221203-153834"
"Israelillo 👽🐵😸","🚴.","Morning Ride",167530,38775,26884,"Ride",668.9,10,"20221203-153834"
"Rogério","C.","A Procura da Serra dos Escravos kkkkk ",126599,36681,26930,"MountainBikeRide",2161,10,"20221203-153834"
"MADOkA","🤡.","Nos a procura da serra dos escravo ",127132,37499,26945,"MountainBikeRide",2341.4,10,"20221203-153834"
"Raul","A.","Vuelta ciclista por la tarde",2118.2,741,662,"Ride",57,,"20221203-154437"
"Marcos","A.","Vuelta ciclista por la tarde",2453.1,794,794,"Ride",13.4,,"20221203-154437"
"ROBERT LEAL","E.","Reconhecimento do percurso #mtbweekend  Lagoa dos ingleses ",5748,2993,2612,"Ride",185.8,10,"20221203-154437"
"Alex","G.","Home trainer ",27400,3600,3600,"Ride",0,10,"20221203-154437"
"Fabien","P.","Evening Ride",13340.8,2033,2033,"VirtualRide",384,,"20221203-154437"
"Ricardo 🌪️🙏","T.","Pedalada vespertina",2515,2441,573,"Ride",64,,"20221203-154437"
"Bob","B.","Zwift - Legends and Lava in Watopia",26324.7,3324,3324,"VirtualRide",352,,"20221203-154437"
"Regis Calazans","O.","Chuveu mais... Fumu assim memu😂😂😂",16818.2,3320,2991,"Ride",160.5,10,"20221203-154437"
"Bastien","T.","Zwift - Sneaky in Watopia",29992.7,3634,3634,"VirtualRide",254,,"20221203-154437"
"Roberty","S.","Desaceleração 🥵",13147.6,3438,2403,"MountainBikeRide",333,10,"20221203-154437"
"Maurício","A.","Tarde passeio",30192.7,4930,4369,"Ride",135.5,10,"20221203-154437"
"Marcio Rubens","F.","Pedalada matinal",42302.2,6093,5638,"Ride",83,,"20221203-154437"
"Crash","G.","Saturday Evening Zwift Watopia-40km Zone 1/2. 60 Minutes Turbo……(Medium Cadence 92 Average rpm, 113 Max rpm)",40112.1,4287,4287,"VirtualRide",155,,"20221203-154437"
"LA ROUE","T.","Zwift - Makuri Islands",17333.8,2050,2050,"VirtualRide",144,,"20221203-154437"
"Flavio","G.","Volta de bicicleta vespertina",30134.3,3813,3726,"Ride",201,,"20221203-154437"
"Cristiano","A.","Pedal bate e volta Cira.  Ciclocross ",36158.4,5177,4513,"Ride",236,10,"20221203-154437"
